date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
2014-05-01,3682.8,7.07,954.94,1632.73,1366.87,961.81,951.5,19.81,101.16,3.4,31.01,675.65,127.85,1620.91,4.97,18.32,41.02,0.0
2014-04-01,2568.3,7.56,1011.42,1629.2,1366.87,1001.69,952.25,19.78,177.84,3.3,36.0,337.77,90.46,1580.0,6.25,16.06,19.65,0.0
2014-03-01,2435.2,7.43,1009.95,1651.2,1366.87,996.67,984.76,20.07,199.37,3.2,35.29,10.05,52.03,1560.48,25.14,61.23,0.56,0.0
2014-02-01,2395.5,7.79,971.77,1557.26,1409.8,970.96,953.0,20.07,151.93,3.1,32.11,0.0,69.01,1503.0,17.25,41.33,0.0,0.0
2014-01-01,2138.8,8.06,948.01,1536.47,1560.64,942.1,951.82,20.38,164.9,2.9,32.44,219.28,85.69,1444.35,26.82,57.35,13.72,0.0
2013-12-01,2735.0,7.53,1007.11,1552.25,1697.56,990.52,996.0,20.45,154.82,3.6,36.69,1053.93,193.0,1426.14,4.01,10.96,61.9,0.0
2013-11-01,3504.2,6.38,1021.7,1614.74,1754.88,989.83,1004.05,19.95,151.65,4.13,34.95,1048.52,194.11,1443.33,5.29,18.54,60.76,0.0
2013-10-01,2610.3,6.1,1010.85,1650.81,1764.66,990.96,1008.48,19.5,147.57,3.03,31.2,5.55,63.88,1416.96,20.82,54.34,0.11,0.0
2013-09-01,2521.9,5.81,983.52,1668.63,1797.87,1019.72,1005.71,19.37,91.72,3.96,29.8,10.92,61.93,1443.81,14.91,37.61,0.12,0.0
2013-08-01,2435.1,6.96,993.85,1714.4,1807.79,994.65,1111.67,18.07,83.4,4.82,24.57,80.35,61.28,1570.0,23.19,56.46,3.98,0.0
2013-07-01,2740.6,7.35,1008.78,1719.92,1816.31,990.31,1210.87,17.48,79.67,5.05,27.79,291.52,89.68,1577.83,16.78,45.98,16.74,0.0
2013-06-01,3470.7,6.88,1147.34,1785.85,1807.79,1037.75,1245.25,18.26,117.57,4.32,23.06,1054.94,172.18,1690.0,2.61,9.08,63.7,0.0
2013-05-01,3260.8,7.36,1116.66,1823.4,1780.73,1073.2,1227.73,19.05,112.81,3.49,24.57,814.89,142.38,1800.0,3.85,12.55,47.73,0.0
2013-04-01,3237.9,7.07,1131.82,1850.72,1763.7,1094.52,1221.14,19.37,99.41,5.49,30.13,0.85,57.32,1800.0,7.6,24.61,0.03,0.0
2013-03-01,2673.2,6.56,1161.66,1801.47,1763.7,1117.43,1249.76,20.15,166.59,4.12,40.32,0.19,53.03,1776.19,13.05,34.88,0.06,0.0
2013-02-01,2613.8,6.43,1216.99,1901.12,1821.71,1173.48,1285.75,20.23,217.43,5.08,30.61,0.98,59.42,1823.75,7.08,18.52,0.14,0.0
2013-01-01,2780.3,6.16,1210.92,1926.47,2270.76,1192.35,1298.48,20.34,183.17,5.75,32.22,391.49,104.61,1960.87,6.96,19.34,22.33,0.0
2012-12-01,3002.8,5.24,1188.18,1303.09,2502.25,1158.64,1271.9,20.13,184.12,2.6,23.75,282.79,103.32,2030.95,4.97,14.92,16.39,0.0
2012-11-01,2122.2,4.68,1184.61,1339.11,2469.18,1137.78,1285.23,20.44,110.24,2.81,23.38,95.99,50.27,1905.46,21.52,45.68,5.33,0.0
2012-10-01,2678.2,4.43,1214.2,1359.81,2469.18,1177.95,1302.61,19.96,110.43,3.14,23.64,5.13,52.27,1580.0,4.28,11.47,0.28,0.0
